"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","direction","gene_id"
3931.96814015216,3.8271932089664,0.0673319133817488,56.840701782341,0,0,"Significant","Upregulated","NHECHLLE_00098"
65095.738101287,3.09651205211905,0.0535663979428386,57.8069866751798,0,0,"Significant","Upregulated","NHECHLLE_00121"
28716.6327620563,-2.77708215882515,0.060773923122565,-45.6952919301344,0,0,"Significant","Downregulated","NHECHLLE_00126"
3475.38400637725,2.60625516962314,0.0667200397696837,39.062554198407,0,0,"Significant","Upregulated","NHECHLLE_00146"
2694.71600294436,3.13791103219207,0.0729935661576556,42.9888714495005,0,0,"Significant","Upregulated","NHECHLLE_00147"
25860.0739525617,-2.10958248931418,0.0505303354506831,-41.7488320728268,0,0,"Significant","Downregulated","NHECHLLE_00188"
2958.22375926072,2.98071247578164,0.0726081844577052,41.052017731113,0,0,"Significant","Upregulated","NHECHLLE_00191"
5518.26132902916,-5.40695342273388,0.0839548851885007,-64.4030828056504,0,0,"Significant","Downregulated","NHECHLLE_00194"
8960.31159469227,-6.01829960406471,0.101401794602387,-59.3510166921942,0,0,"Significant","Downregulated","NHECHLLE_00195"
8285.20890204798,-5.49384222475771,0.0715855498022124,-76.745128590015,0,0,"Significant","Downregulated","NHECHLLE_00196"
5042.96931905649,4.66099464645159,0.0732488021233041,63.6323668284084,0,0,"Significant","Upregulated","NHECHLLE_00268"
1247.18410722916,5.00804492205877,0.120028916688943,41.7236534345901,0,0,"Significant","Upregulated","NHECHLLE_00308"
944.176096984209,4.3632005811967,0.114038853327664,38.2606493653533,0,0,"Significant","Upregulated","NHECHLLE_00309"
3781.52472441907,7.34891865520115,0.134437567213647,54.6641746612562,0,0,"Significant","Upregulated","NHECHLLE_00310"
2406.66257445288,7.0092004683311,0.148777552807349,47.1119489201926,0,0,"Significant","Upregulated","NHECHLLE_00311"
3557.45430077639,6.9833976713203,0.131499157838489,53.1060258187926,0,0,"Significant","Upregulated","NHECHLLE_00313"
2657.54853768628,3.48213464302777,0.0919965061452487,37.8507270431553,0,0,"Significant","Upregulated","NHECHLLE_00315"
14947.4994286068,4.27775415209118,0.0769034960282744,55.6249634024234,0,0,"Significant","Upregulated","NHECHLLE_00317"
1588.00412374754,3.57916151459957,0.0875603001408933,40.8765331873046,0,0,"Significant","Upregulated","NHECHLLE_00318"
7537.03373708115,3.17026291178507,0.0759736122491378,41.7284741100493,0,0,"Significant","Upregulated","NHECHLLE_00323"
6332.08756559834,3.14787201884085,0.0706232517368975,44.572742565976,0,0,"Significant","Upregulated","NHECHLLE_00325"
2816.51983156151,-3.02459979244642,0.0715058303721903,-42.298645812562,0,0,"Significant","Downregulated","NHECHLLE_00332"
9608.2037066029,-4.57862263991948,0.0707967425537009,-64.672786836859,0,0,"Significant","Downregulated","NHECHLLE_00343"
