"","BHI_1","BHI_2","BHI_3","Serum_1","Serum_2","Serum_3"
"NHECHLLE_00528",246,279,217,1600,1499,1529
"NHECHLLE_00529",1581,1837,1605,3617,5001,4451
"NHECHLLE_00531",191,176,166,234,287,250
"NHECHLLE_00532",2838,2767,2491,6407,8301,7426
"NHECHLLE_00533",1409,1273,1139,587,698,570
"NHECHLLE_00534",1735,1820,1637,1357,1638,1428
"NHECHLLE_00535",2469,2417,2228,2772,3159,3063
"NHECHLLE_00536",1536,1878,1708,1283,1713,1422
"NHECHLLE_00537",846,763,743,1117,1351,1223
"NHECHLLE_00538",1475,1650,1711,383,548,453
"NHECHLLE_00539",5124,5631,4933,931,1049,962
"NHECHLLE_00540",704,764,714,271,331,336
"NHECHLLE_00541",966,872,815,289,305,311
"NHECHLLE_00542",10545,11432,10557,1419,2059,1935
"NHECHLLE_00543",1389,1345,1260,1657,1853,1653
"NHECHLLE_00544",373,406,362,903,1090,920
"NHECHLLE_00545",668,598,569,368,491,441
"NHECHLLE_00546",334,320,292,149,183,166
"NHECHLLE_00547",186,157,174,93,104,86
"NHECHLLE_00548",81,67,73,34,34,42
"NHECHLLE_00549",3252,3158,2819,2053,2363,2267
"NHECHLLE_00550",814,820,774,621,758,653
"NHECHLLE_00551",1370,1446,1247,758,881,815
"NHECHLLE_00552",2500,2565,2163,2582,3008,2826
"NHECHLLE_00553",2068,1867,1717,1868,2226,2006
"NHECHLLE_00554",4558,4620,4215,3766,4147,3790
"NHECHLLE_00555",26255,22669,21020,16456,19322,16941
"NHECHLLE_00556",7035,6900,6081,4172,4700,4236
"NHECHLLE_00557",1349,1374,1149,883,1118,1012
"NHECHLLE_00558",3565,3473,3204,1741,1927,1899
"NHECHLLE_00559",26208,26797,24669,7406,8579,7685
"NHECHLLE_00560",1593,1410,1218,701,811,767
"NHECHLLE_00561",502,473,499,338,404,322
"NHECHLLE_00562",11759,10931,9591,4402,4996,4096
"NHECHLLE_00563",13939,13465,12181,5030,5490,4882
"NHECHLLE_00564",5625,5778,4837,1531,1701,1561
"NHECHLLE_00565",8817,9561,8153,1975,2305,2098
"NHECHLLE_00566",555,455,448,499,589,542
"NHECHLLE_00567",3226,2684,2640,2331,3058,2512
"NHECHLLE_00568",20,13,13,11,27,22
"NHECHLLE_00569",12,10,8,9,9,8
"NHECHLLE_00570",11,3,11,3,3,1
"NHECHLLE_00571",37,38,36,21,20,29
"NHECHLLE_00572",40,50,43,39,36,44
"NHECHLLE_00573",86,78,74,34,35,28
"NHECHLLE_00574",1326,1282,1060,51525,61462,69328
"NHECHLLE_00575",376,213,217,63975,73373,81699
"NHECHLLE_00576",322,191,162,56040,61935,68670
"NHECHLLE_00577",83,48,56,13646,14209,15792
"NHECHLLE_00578",206,127,119,38604,45436,48193
"NHECHLLE_00579",181,109,81,42214,48166,51386
"NHECHLLE_00580",404,192,158,95687,108704,110320
"NHECHLLE_00581",103,35,40,27305,30442,30723
"NHECHLLE_00582",18,12,6,6488,7085,6952
"NHECHLLE_00583",126,64,50,32470,37874,35968
"NHECHLLE_00584",263,305,279,1729,2178,2012
"NHECHLLE_00585",4305,4617,3872,45527,56109,48481
"NHECHLLE_00586",1743,1736,1682,15927,18139,16442
"NHECHLLE_00587",140,126,128,5250,6775,5338
"NHECHLLE_00588",6113,6814,6102,11108,14227,12064
"NHECHLLE_00589",3240,3106,3014,7278,8368,7641
"NHECHLLE_00590",69,70,45,65,68,60
"NHECHLLE_00591",6,20,18,13,18,20
"NHECHLLE_00592",25,25,21,26,18,23
"NHECHLLE_00593",14,19,21,13,20,24
"NHECHLLE_00594",24,32,30,21,18,20
"NHECHLLE_00595",2161,2087,1916,3682,3854,3643
"NHECHLLE_00596",2344,2097,1951,3224,3462,3182
"NHECHLLE_00597",4356,3967,3629,5726,6301,5860
"NHECHLLE_00598",1178,961,1000,1643,1548,1465
"NHECHLLE_00599",1539,1532,1430,1436,1623,1461
"NHECHLLE_00600",367,396,374,754,877,754
"NHECHLLE_00601",263,247,269,221,238,223
"NHECHLLE_00602",2219,2235,1963,4447,4694,4590
"NHECHLLE_00603",583,455,461,1323,1432,1289
"NHECHLLE_00604",69,57,68,809,981,902
"NHECHLLE_00605",49,46,34,463,481,476
"NHECHLLE_00606",56,47,50,345,339,347
"NHECHLLE_00607",55,71,59,102,148,124
"NHECHLLE_00608",16,16,25,10,17,20
"NHECHLLE_00609",8229,8627,7493,4789,5426,5127
"NHECHLLE_00610",3534,3372,3222,2592,2817,2550
"NHECHLLE_00611",4712,4583,4281,3228,3618,3565
"NHECHLLE_00612",84,78,95,81,103,81
"NHECHLLE_00614",493,514,444,175,249,192
"NHECHLLE_00615",374,380,405,212,275,241
"NHECHLLE_00616",19,29,12,13,30,20
"NHECHLLE_00617",382,437,414,198,287,270
"NHECHLLE_00618",73,74,67,134,168,154
"NHECHLLE_00619",425,438,370,1285,1677,1425
"NHECHLLE_00620",796,779,705,823,913,863
"NHECHLLE_00621",2597,2870,2516,3690,4646,4428
"NHECHLLE_00622",384,349,349,1139,1174,1090
"NHECHLLE_00623",258,277,218,657,759,676
"NHECHLLE_00624",526,532,461,1113,1206,1183
"NHECHLLE_00625",345,300,321,844,991,938
"NHECHLLE_00626",1923,1946,1696,2613,3028,2561
"NHECHLLE_00627",152,108,86,214,182,138
"NHECHLLE_00628",1109,1067,959,1382,1589,1393
"NHECHLLE_00629",1971,1972,1728,1785,2208,1788
"NHECHLLE_00630",73,103,107,22,24,31
"NHECHLLE_00631",2322,2624,2318,280,368,339
"NHECHLLE_00632",3008,2918,3072,7104,8250,7065
"NHECHLLE_00633",731,712,672,1186,1341,1227
"NHECHLLE_00634",87,87,65,1081,1112,1146
"NHECHLLE_00635",42,49,52,656,655,613
"NHECHLLE_00636",549,537,539,904,906,903
"NHECHLLE_00637",74,82,89,504,690,620
"NHECHLLE_00638",1504,1497,1444,469,544,441
"NHECHLLE_00639",8202,8364,7612,3173,3640,3284
"NHECHLLE_00640",1808,1931,1690,694,707,765
"NHECHLLE_00641",5879,6909,6473,2648,3057,3066
"NHECHLLE_00642",19936,18945,17226,11335,12369,11180
"NHECHLLE_00643",14492,13276,11383,5163,6023,5396
"NHECHLLE_00644",1358,1230,1143,1376,1376,1211
"NHECHLLE_00645",2775,2819,2581,1228,1510,1383
"NHECHLLE_00646",3313,3664,3522,1709,2069,1720
"NHECHLLE_00647",5658,6469,5050,2027,2577,2465
"NHECHLLE_00648",10631,10009,8934,4058,4455,3740
"NHECHLLE_00649",4313,3960,3139,700,820,751
"NHECHLLE_00650",2614,2632,2548,514,579,534
"NHECHLLE_00651",7219,7412,6734,1755,2017,1922
"NHECHLLE_00652",12934,12917,11087,2036,2331,2121
"NHECHLLE_00653",475,557,502,112,121,109
"NHECHLLE_00654",1779,1885,1621,842,1061,850
"NHECHLLE_00655",2279,2309,2029,897,1036,900
"NHECHLLE_00656",107,102,101,2974,3365,3078
"NHECHLLE_00657",281,312,276,6809,8453,8154
"NHECHLLE_00658",3406,3137,3001,3250,3526,3585
"NHECHLLE_00659",436,471,436,356,491,448
"NHECHLLE_00660",1882,1933,1783,1900,2168,2064
"NHECHLLE_00661",1644,1769,1618,1534,1918,1656
"NHECHLLE_00662",3759,3426,3080,3119,3553,3225
"NHECHLLE_00663",10430,10301,9399,5043,5615,5223
"NHECHLLE_00664",714,647,582,2282,2960,2673
"NHECHLLE_00665",1239,1065,1168,865,1021,951
"NHECHLLE_00666",1923,2160,1920,1357,1619,1448
"NHECHLLE_00667",4974,5161,4657,2593,3301,2946
"NHECHLLE_00668",6107,5413,5136,1121,1323,1157
"NHECHLLE_00669",1539,1605,1487,237,292,253
"NHECHLLE_00670",2056,2065,1717,2131,2350,2286
"NHECHLLE_00671",3392,3358,3088,3055,3422,3030
"NHECHLLE_00672",1055,1054,956,667,656,609
"NHECHLLE_00673",385,355,317,217,246,217
"NHECHLLE_00674",2824,2503,2147,2740,3189,2858
"NHECHLLE_00675",5979,5614,4850,5518,5981,5607
"NHECHLLE_00676",837,697,647,1178,1276,1277
"NHECHLLE_00677",24112,27907,27705,21687,28581,26080
"NHECHLLE_00678",13504,12195,11574,3476,3954,3651
"NHECHLLE_00679",23080,21865,20681,26153,27833,25098
"NHECHLLE_00680",4379,4011,3557,652,795,785
"NHECHLLE_00681",8393,8105,7149,2289,2572,2592
"NHECHLLE_00682",383,411,354,665,647,679
"NHECHLLE_00683",71,48,54,68,77,75
"NHECHLLE_00684",734,728,761,827,1088,931
"NHECHLLE_00685",470,443,418,231,276,260
"NHECHLLE_00686",9499,9074,8368,11627,13178,12384
"NHECHLLE_00687",12236,13452,11869,8450,10319,9713
"NHECHLLE_00688",1116,843,827,1098,1448,1150
"NHECHLLE_00689",4413,4160,3719,2751,3049,2858
"NHECHLLE_00690",2751,2346,1889,1539,1772,1609
"NHECHLLE_00691",3229,2889,2520,1990,2224,2096
"NHECHLLE_00692",1026,909,853,671,663,602
"NHECHLLE_00693",4306,3806,3535,2579,2903,2675
"NHECHLLE_00694",9,5,5,0,1,0
"NHECHLLE_00695",2295,1870,1839,892,1112,897
"NHECHLLE_00696",2553,2936,2495,1459,1695,1555
"NHECHLLE_00697",8576,8311,8132,2688,3087,2894
"NHECHLLE_00698",3,0,2,2,0,3
"NHECHLLE_00699",16083,13245,12520,12185,13836,12791
"NHECHLLE_00700",9657,8003,7360,5193,5899,5473
"NHECHLLE_00701",9131,8478,7805,1982,2327,2196
"NHECHLLE_00702",934,729,782,966,1119,1024
"NHECHLLE_00703",167,176,159,320,298,297
"NHECHLLE_00704",522,566,465,171,190,187
"NHECHLLE_00705",2802,2985,2750,1542,1728,1633
"NHECHLLE_00706",6107,5355,4696,33939,39405,33263
"NHECHLLE_00707",1348,1532,1305,2189,2552,2352
"NHECHLLE_00708",3566,3235,2807,813,875,820
"NHECHLLE_00709",2539,2490,2060,10251,11911,10519
"NHECHLLE_00710",153,137,141,755,808,662
"NHECHLLE_00711",8966,9188,9176,1944,2517,2038
"NHECHLLE_00712",9048,8126,7212,3976,4645,4104
"NHECHLLE_00713",5655,5617,5015,1668,1948,1799
"NHECHLLE_00714",5401,5475,4844,1793,2154,1945
"NHECHLLE_00715",490,517,465,178,212,205
"NHECHLLE_00716",17074,16541,15641,10821,12578,11408
"NHECHLLE_00717",5018,5575,4674,2020,2443,2240
"NHECHLLE_00718",2078,1946,1758,868,934,887
"NHECHLLE_00719",25,27,37,13,6,8
"NHECHLLE_00720",101,119,99,27,25,31
"NHECHLLE_00721",797,722,781,345,367,336
"NHECHLLE_00722",233,249,214,36,76,53
"NHECHLLE_00723",1251,1238,957,2444,2520,2778
"NHECHLLE_00724",513,463,423,217,270,224
"NHECHLLE_00725",48,43,38,39,36,35
"NHECHLLE_00726",847,874,723,543,564,564
"NHECHLLE_00727",132,169,171,57,70,87
"NHECHLLE_00728",55,59,48,25,28,28
"NHECHLLE_00729",21,22,23,31,19,16
"NHECHLLE_00730",6,6,4,6,2,1
"NHECHLLE_00731",27,27,25,21,22,26
"NHECHLLE_00732",1,1,3,10,12,3
"NHECHLLE_00733",1,3,3,6,3,3
"NHECHLLE_00734",95,109,132,26,50,35
"NHECHLLE_00735",247,274,237,122,156,160
"NHECHLLE_00736",95,88,81,39,49,28
"NHECHLLE_00737",404,446,377,367,473,373
"NHECHLLE_00738",181,195,179,776,728,762
"NHECHLLE_00739",176,174,163,88,74,72
"NHECHLLE_00740",354,404,366,248,321,301
"NHECHLLE_00741",638,627,490,4200,4236,4570
"NHECHLLE_00742",150,128,108,125,121,119
"NHECHLLE_00743",151,163,139,135,157,133
"NHECHLLE_00744",141,138,114,116,103,97
"NHECHLLE_00745",53,47,43,34,47,28
"NHECHLLE_00746",76,58,49,54,63,76
"NHECHLLE_00747",12,13,13,17,10,10
"NHECHLLE_00748",41,45,34,29,34,31
"NHECHLLE_00749",3,0,0,0,6,0
"NHECHLLE_00750",11,25,10,22,20,13
"NHECHLLE_00751",227,208,208,349,382,345
"NHECHLLE_00752",1,1,2,0,6,3
"NHECHLLE_00753",45,58,39,153,162,158
"NHECHLLE_00754",89,85,66,183,198,189
"NHECHLLE_00755",185,189,177,96,114,126
"NHECHLLE_00756",21,18,27,37,38,34
"NHECHLLE_00757",9,7,17,21,24,12
"NHECHLLE_00758",17,11,17,29,14,21
"NHECHLLE_00759",5,8,6,6,9,5
"NHECHLLE_00760",17,22,11,15,17,12
"NHECHLLE_00761",3,3,3,4,4,2
"NHECHLLE_00762",15,3,5,5,7,11
"NHECHLLE_00763",93,81,65,91,80,65
"NHECHLLE_00764",1719,1613,1503,632,764,674
"NHECHLLE_00765",283,257,257,518,604,531
"NHECHLLE_00766",5,3,2,4,6,9
"NHECHLLE_00767",46,49,27,31,46,52
"NHECHLLE_00768",9,9,9,28,38,32
"NHECHLLE_00769",26,27,18,61,58,68
"NHECHLLE_00770",13,9,6,25,27,29
"NHECHLLE_00771",1,0,1,3,1,0
"NHECHLLE_00772",54,55,44,59,52,60
"NHECHLLE_00789",10602,9655,8757,8380,9685,9195
"NHECHLLE_00790",5049,4271,4089,3874,4444,4188
"NHECHLLE_00791",23784,22318,20245,11390,12663,11463
"NHECHLLE_00792",2335,2188,2252,992,1038,1082
"NHECHLLE_00793",23572,22633,22881,4755,5753,5138
"NHECHLLE_00794",220,264,231,392,427,399
"NHECHLLE_00795",79970,68616,67049,22408,27777,23590
"NHECHLLE_00796",68617,62306,59251,20029,22699,20291
"NHECHLLE_00797",4530,4573,4264,7362,7993,7227
"NHECHLLE_00798",661,716,654,915,1151,1113
"NHECHLLE_00799",3204,3115,2753,2730,3144,3050
"NHECHLLE_00800",0,0,2,0,0,0
"NHECHLLE_00801",1684,1459,1274,23292,28282,25070
"NHECHLLE_00802",3046,2765,2700,2667,3153,2862
"NHECHLLE_00803",3,0,1,0,0,0
"NHECHLLE_00804",8076,7889,7268,7821,9236,8353
"NHECHLLE_00805",959,885,882,1042,1153,1089
"NHECHLLE_00806",18122,18184,16390,4131,4787,4097
"NHECHLLE_00807",1425,1441,1427,947,1117,921
"NHECHLLE_00808",1538,1473,1293,545,591,586
"NHECHLLE_00809",5105,5353,4831,3573,4130,3731
"NHECHLLE_00810",486,565,496,943,1223,1034
"NHECHLLE_00811",1,1,0,0,0,1
"NHECHLLE_00812",16546,16323,14720,2594,2837,2733
"NHECHLLE_00813",9049,8839,7876,862,927,869
"NHECHLLE_00814",14831,14539,13433,2088,2383,2195
"NHECHLLE_00815",8125,8563,7801,1106,1339,1193
"NHECHLLE_00816",12359,12877,11207,1881,2203,1945
"NHECHLLE_00817",14387,12152,10773,1616,1883,1740
"NHECHLLE_00818",2473,2558,2445,315,343,305
"NHECHLLE_00819",19785,19686,17310,2021,2257,2107
"NHECHLLE_00820",13389,14306,12469,836,1027,862
"NHECHLLE_00821",32254,30506,27681,882,1048,786
"NHECHLLE_00822",30335,29617,26753,834,1018,774
"NHECHLLE_00823",58376,60999,53148,1277,1546,1272
"NHECHLLE_00824",19293,16333,15092,381,406,301
"NHECHLLE_00825",24498,21009,18568,514,540,445
"NHECHLLE_00826",45618,39916,37044,889,1087,859
"NHECHLLE_00827",39002,40225,34494,705,847,671
"NHECHLLE_00828",38995,35831,30804,541,702,618
"NHECHLLE_00829",23682,25690,25125,421,486,355
"NHECHLLE_00830",42358,37076,34513,1344,1719,1451
"NHECHLLE_00831",21748,21115,19343,728,979,771
"NHECHLLE_00832",458,461,446,472,554,512
"NHECHLLE_00833",6206,5886,6007,6019,7231,6609
"NHECHLLE_00834",3233,3588,3001,4360,5349,4960
"NHECHLLE_00835",3161,3022,2815,3336,3619,3346
"NHECHLLE_00836",3036,3207,2882,3247,3577,3360
"NHECHLLE_00837",103355,104925,96398,53384,62321,57705
"NHECHLLE_00838",22156,24518,25027,8927,11037,9942
"NHECHLLE_00839",12643,12652,11256,11879,13001,11894
"NHECHLLE_00840",2408,2413,1921,40564,40153,39845
"NHECHLLE_00841",52,49,64,43,50,50
"NHECHLLE_00842",8618,8900,7761,1973,2182,2051
"NHECHLLE_00843",10987,10162,9639,4765,5503,5047
"NHECHLLE_00844",3212,3374,3200,3281,3788,3595
"NHECHLLE_00845",766,682,697,289,407,358
"NHECHLLE_00846",10791,10823,9780,7511,8676,7767
"NHECHLLE_00847",2094,2055,1793,1509,1729,1691
"NHECHLLE_00848",620,647,580,554,603,526
"NHECHLLE_00849",3610,3877,3485,1451,1762,1619
"NHECHLLE_00850",497,755,574,497,591,547
"NHECHLLE_00851",793,880,801,3292,3604,3756
"NHECHLLE_00852",8019,7856,7159,7808,8725,7955
"NHECHLLE_00853",9675,10382,8474,16976,17176,16449
"NHECHLLE_00854",10103,10762,9429,16085,19571,17213
"NHECHLLE_00855",1051,979,910,336,382,370
"NHECHLLE_00856",311,298,247,488,559,549
"NHECHLLE_00857",710,803,733,288,381,354
"NHECHLLE_00858",641,606,532,890,861,880
"NHECHLLE_00859",0,1,0,0,4,1
"NHECHLLE_00860",0,0,0,0,0,0
"NHECHLLE_00861",22,31,26,20,26,23
"NHECHLLE_00862",1931,1892,1638,2438,2940,2747
"NHECHLLE_00863",5767,5615,5044,5958,6347,6187
"NHECHLLE_00864",3273,3071,2584,1087,1228,1120
"NHECHLLE_00865",4795,4736,4248,1512,1627,1584
"NHECHLLE_00866",5318,5369,4572,1191,1553,1474
"NHECHLLE_00867",20303,20823,19564,3495,3971,3659
"NHECHLLE_00868",10795,11281,10102,3119,3572,3301
"NHECHLLE_00869",897,955,964,153,161,137
"NHECHLLE_00870",1,2,1,0,0,0
"NHECHLLE_00871",11609,12877,11270,6274,7575,6684
"NHECHLLE_00872",7775,8216,6900,2668,3377,2889
"NHECHLLE_00873",7376,6737,5711,2533,2797,2587
"NHECHLLE_00874",4748,5028,4598,1418,1725,1502
"NHECHLLE_00875",2110,2137,1975,638,770,624
"NHECHLLE_00876",4000,3759,3254,1096,1279,1190
"NHECHLLE_00877",4766,4972,4488,1407,1738,1485
"NHECHLLE_00878",4311,4725,3854,1204,1384,1298
"NHECHLLE_00879",2781,2692,2525,818,1038,876
"NHECHLLE_00880",3394,3407,3136,1388,1805,1532
"NHECHLLE_00881",7181,7481,6732,1839,2038,1856
"NHECHLLE_00882",1,1,0,1,1,0
"NHECHLLE_00883",21023,20884,19208,4195,4752,4368
"NHECHLLE_00884",7447,7416,7311,1477,1701,1563
"NHECHLLE_00885",5540,5600,5164,999,1185,1138
"NHECHLLE_00886",2317,2564,2470,240,346,282
"NHECHLLE_00887",7424,7148,6388,2107,2343,2110
"NHECHLLE_00888",13755,14199,12706,5681,6931,6174
"NHECHLLE_00889",7632,7908,7059,3002,3539,3198
"NHECHLLE_00890",21599,19962,18008,9939,11644,10522
"NHECHLLE_00891",4353,4086,3913,1782,2037,1944
"NHECHLLE_00892",8109,8575,7311,2434,3157,2792
"NHECHLLE_00893",4214,3981,3710,1664,1935,1782
"NHECHLLE_00894",2347,2281,2031,1175,1282,1082
"NHECHLLE_00895",3632,2974,2722,1692,1745,1646
"NHECHLLE_00896",3586,2647,2465,1374,1544,1510
"NHECHLLE_00897",3876,3753,3163,1664,1910,1677
"NHECHLLE_00898",8926,8793,7894,4965,5106,4914
"NHECHLLE_00899",5748,5338,4846,1869,2401,2197
"NHECHLLE_00900",354,336,306,949,1031,958
"NHECHLLE_00901",4266,4521,4102,7703,8756,8362
"NHECHLLE_00902",31,40,46,19,22,18
"NHECHLLE_00903",0,0,0,0,0,0
"NHECHLLE_00904",1,2,0,1,0,0
"NHECHLLE_00905",1,0,3,1,0,0
"NHECHLLE_00906",0,0,0,0,0,0
"NHECHLLE_00907",0,0,0,0,0,0
"NHECHLLE_00908",0,0,0,0,0,0
"NHECHLLE_00910",6,7,4,21,33,35
"NHECHLLE_00911",0,0,0,0,0,0
"NHECHLLE_00912",0,0,0,0,0,0
"NHECHLLE_00913",0,0,0,0,0,0
"NHECHLLE_00914",19,17,13,78,82,67
"NHECHLLE_00915",0,0,0,0,0,0
"NHECHLLE_00916",0,0,0,0,0,0
"NHECHLLE_00917",0,0,0,0,0,0
"NHECHLLE_00918",24,21,17,371,506,438
"NHECHLLE_00919",27,31,40,317,403,342
"NHECHLLE_00920",93,81,79,1522,1860,1773
"NHECHLLE_00921",2,0,1,19,34,26
"NHECHLLE_00922",2,5,6,263,290,237
"NHECHLLE_00923",8,5,6,320,389,386
"NHECHLLE_00924",4,5,6,212,270,216
"NHECHLLE_00925",9,3,6,318,360,351
"NHECHLLE_00926",4,4,3,216,248,199
"NHECHLLE_00927",7,5,5,223,311,289
"NHECHLLE_00928",3,5,2,89,109,74
"NHECHLLE_00929",18,15,17,831,983,882
"NHECHLLE_00930",6,2,1,244,258,231
"NHECHLLE_00931",72,50,55,635,736,633
"NHECHLLE_00932",14,22,15,204,228,231
"NHECHLLE_00933",41,42,27,795,903,905
"NHECHLLE_00934",1,4,3,35,48,46
"NHECHLLE_00935",5,2,2,77,81,84
"NHECHLLE_00936",66,46,47,940,959,975
"NHECHLLE_00937",27,24,21,399,449,470
"NHECHLLE_00938",15,19,13,210,235,231
"NHECHLLE_00939",4,7,1,114,109,92
"NHECHLLE_00940",403,414,451,292,385,342
"NHECHLLE_00941",85,70,66,576,733,680
"NHECHLLE_00942",11,20,22,27,32,39
"NHECHLLE_00943",0,0,0,0,0,0
"NHECHLLE_00944",0,0,0,0,0,0
"NHECHLLE_00945",0,0,0,0,0,0
"NHECHLLE_00946",0,0,0,0,0,0
"NHECHLLE_00947",32,26,23,211,256,205
"NHECHLLE_00948",13,17,8,129,139,114
"NHECHLLE_00949",23,28,31,262,314,256
"NHECHLLE_00950",11,11,7,80,122,87
"NHECHLLE_00951",29,30,28,336,417,401
"NHECHLLE_00952",8,4,3,50,28,31
"NHECHLLE_00953",21,26,20,280,267,244
"NHECHLLE_00954",15,10,13,99,120,117
"NHECHLLE_00955",4,2,3,62,90,78
"NHECHLLE_00956",252,258,207,4887,5396,4897
"NHECHLLE_00957",124,129,114,2191,2724,2527
"NHECHLLE_00958",85,71,92,1349,1785,1591
"NHECHLLE_00959",0,0,0,1,0,1
"NHECHLLE_00960",26,24,22,513,689,612
"NHECHLLE_00961",0,2,2,35,35,40
"NHECHLLE_00962",5,12,8,112,140,155
"NHECHLLE_00963",57,38,22,1278,1314,1233
"NHECHLLE_00964",70,59,79,1797,2034,1654
"NHECHLLE_00965",19,22,13,453,537,519
"NHECHLLE_00966",38,35,35,960,1112,840
"NHECHLLE_00967",195,193,169,5592,6219,6035
"NHECHLLE_00968",1037,999,963,4259,4642,4519
"NHECHLLE_00969",53,72,66,2287,2557,2526
"NHECHLLE_00970",292,227,218,2942,3381,3293
"NHECHLLE_00971",29,38,25,1217,1795,1356
"NHECHLLE_00972",898,895,882,621,771,717
"NHECHLLE_00973",444,473,384,337,398,329
"NHECHLLE_00974",193,196,169,406,497,417
"NHECHLLE_00975",1059,1215,1115,659,753,696
"NHECHLLE_00976",25127,26929,23984,25892,30162,27518
"NHECHLLE_00977",2999,3308,3019,818,874,789
"NHECHLLE_00978",1628,1714,1664,3163,3106,2979
"NHECHLLE_00979",190,168,162,418,473,453
"NHECHLLE_00980",426,502,481,956,1093,961
"NHECHLLE_00981",6184,6247,5318,1841,2213,2069
"NHECHLLE_00982",4236,3977,3475,1705,1932,1833
"NHECHLLE_00983",5173,5541,4923,2570,2966,2742
"NHECHLLE_00984",5755,5613,5042,3440,3924,3401
"NHECHLLE_00985",3564,3913,3635,2737,3211,2861
"NHECHLLE_00986",13002,11033,9738,2645,2850,2649
"NHECHLLE_00987",4455,4138,3741,526,595,588
"NHECHLLE_00989",183,169,127,118,119,117
"NHECHLLE_00990",0,0,0,0,0,0
"NHECHLLE_00991",28,30,26,24,31,34
"NHECHLLE_00992",28,40,27,29,47,33
"NHECHLLE_00993",23,28,30,37,50,53
"NHECHLLE_00994",13760,12823,11174,10249,11724,11388
"NHECHLLE_00995",5804,4945,4549,3144,3589,3372
"NHECHLLE_00996",540,549,510,276,283,299
"NHECHLLE_00997",38,35,26,28,21,36
"NHECHLLE_00998",326,350,294,1636,1887,2034
"NHECHLLE_00999",67,75,63,409,545,487
"NHECHLLE_01000",3735,4315,3905,5397,6381,6045
"NHECHLLE_01001",16108,17005,15781,13475,15070,13861
"NHECHLLE_01002",9298,9184,8564,7712,8991,8057
"NHECHLLE_01003",924,970,909,737,823,717
"NHECHLLE_01004",462,436,393,606,753,650
"NHECHLLE_01005",859,939,895,470,472,441
"NHECHLLE_01006",2759,2835,2459,380,445,425
"NHECHLLE_01007",54,55,56,27,22,17
"NHECHLLE_01008",511,454,432,233,267,247
"NHECHLLE_01009",126,114,111,117,139,148
"NHECHLLE_01010",97643,99281,91637,9088,10652,9993
"NHECHLLE_01011",225826,220700,176544,23744,24312,25979
"NHECHLLE_01012",46385,51590,43843,6541,7560,7114
"NHECHLLE_01013",54838,60486,52822,7256,8621,8100
"NHECHLLE_01014",1338,1154,1077,1376,1566,1542
"NHECHLLE_01015",1486,1496,1407,1756,2158,1797
"NHECHLLE_01016",1424,1283,1287,1065,1198,1190
"NHECHLLE_01017",802,682,707,1160,1336,1183
"NHECHLLE_01018",5559,5376,5137,1379,1696,1581
"NHECHLLE_01019",109,83,103,82,152,132
"NHECHLLE_01020",623,552,498,303,316,340
"NHECHLLE_01021",1669,1759,1691,3480,4523,3918
"NHECHLLE_01022",1451,1339,1505,489,660,593
"NHECHLLE_01023",1140,1242,1125,264,305,282
"NHECHLLE_01024",200,198,177,149,182,149
"NHECHLLE_01025",142,156,143,176,236,188
"NHECHLLE_01026",47,45,50,117,134,125
"NHECHLLE_01027",331,418,317,258,332,296
"NHECHLLE_01028",185,202,176,237,281,235
"NHECHLLE_01029",796,676,659,560,649,610
"NHECHLLE_01030",4996,4411,4120,2158,2542,2167
"NHECHLLE_01031",1837,1876,1734,862,971,886
"NHECHLLE_01032",1570,1173,992,401,431,395
"NHECHLLE_01033",695,635,590,220,278,269
"NHECHLLE_01034",1946,1963,1825,467,516,518
"NHECHLLE_01035",5998,4958,4991,1844,2001,1904
"NHECHLLE_01036",5143,4969,4452,2008,2482,2168
"NHECHLLE_01037",1495,1396,1219,1605,1838,1591
"NHECHLLE_01038",902,846,823,985,1107,936
"NHECHLLE_01039",984,958,864,502,632,534
"NHECHLLE_01040",6515,6967,6857,2896,3112,3030
"NHECHLLE_01041",0,0,0,0,0,0
"NHECHLLE_01042",8810,9564,8756,10841,12733,11723
"NHECHLLE_01043",591,642,591,323,349,331
"NHECHLLE_01044",4791,5585,4936,10253,12411,11431
"NHECHLLE_01045",5983,6437,6078,24026,26233,24298
"NHECHLLE_01046",663,759,721,171,194,187
"NHECHLLE_01047",11356,10530,8991,4774,5345,4992
"NHECHLLE_01048",6780,6892,6303,3510,3841,3746
"NHECHLLE_01049",886,857,835,290,372,325
"NHECHLLE_01050",1699,1688,1522,1126,1297,1095
"NHECHLLE_01051",491,514,450,282,338,289
"NHECHLLE_01052",470,465,361,230,264,283
"NHECHLLE_01053",15935,15717,14360,17300,20332,18559
"NHECHLLE_01054",9058,8463,7307,5103,6079,5376
"NHECHLLE_01055",19744,19792,16932,7134,8853,7639
"NHECHLLE_01056",8702,8006,7171,1791,2214,1823
"NHECHLLE_01057",1838,2132,1761,6936,7304,6777
"NHECHLLE_01058",1228,1308,1119,3173,3506,3313
"NHECHLLE_01059",3090,2910,2746,3662,4059,3871
"NHECHLLE_01060",31762,32063,27759,39917,45517,43500
"NHECHLLE_01061",1244,1265,1215,604,827,687
"NHECHLLE_01062",1379,1276,1137,685,871,740
"NHECHLLE_01063",662,584,530,234,231,184
"NHECHLLE_01064",1146,1000,946,158,179,172
"NHECHLLE_01065",1192,1325,1176,802,929,909
"NHECHLLE_01066",173,170,187,777,950,934
