"","BHI_1","BHI_2","BHI_3","Serum_1","Serum_2","Serum_3"
"NHECHLLE_00126",51660,56093,52892,6436,7575,6615
"NHECHLLE_00127",64014,60646,53781,11170,12395,11322
"NHECHLLE_00128",8154,7458,6297,2245,2780,2431
"NHECHLLE_00129",4740,3892,3757,3333,3833,3407
"NHECHLLE_00130",3304,3402,3095,1131,1304,1178
"NHECHLLE_00131",1019,1049,1085,412,534,482
"NHECHLLE_00132",5849,5050,4754,2956,3501,3058
"NHECHLLE_00133",15722,13637,12019,8385,9135,8338
"NHECHLLE_00134",12206,11903,10784,7276,8359,7511
"NHECHLLE_00135",5777,6314,5918,1224,1433,1300
"NHECHLLE_00136",15136,15378,14250,3882,4320,3994
"NHECHLLE_00137",3014,2703,2601,731,975,877
"NHECHLLE_00138",5490,4643,4019,1339,1448,1480
"NHECHLLE_00139",24140,22240,21307,9655,10732,10180
"NHECHLLE_00140",7614,8419,6650,4726,5675,5384
"NHECHLLE_00141",225,227,186,903,1051,978
"NHECHLLE_00142",800,757,687,3805,4097,3872
"NHECHLLE_00143",347,378,333,1668,1921,1719
"NHECHLLE_00144",1064,873,787,283,338,347
"NHECHLLE_00145",1750,1622,1516,345,418,450
"NHECHLLE_00146",1097,1023,1024,5272,6180,5387
"NHECHLLE_00147",642,564,558,4362,4837,4432
"NHECHLLE_00148",66,69,76,396,435,404
"NHECHLLE_00149",96,133,108,381,438,407
"NHECHLLE_00150",65,72,68,49,41,47
"NHECHLLE_00151",257,302,256,288,363,331
"NHECHLLE_00152",549,639,550,521,570,593
"NHECHLLE_00153",190,189,163,1631,1550,1751
"NHECHLLE_00154",141,108,108,52,69,86
"NHECHLLE_00155",1009,844,719,814,989,847
"NHECHLLE_00156",6930,7434,6742,1275,1449,1419
"NHECHLLE_00157",7065,6936,6488,1367,1402,1350
"NHECHLLE_00158",38043,40125,35445,12067,13588,12486
"NHECHLLE_00159",8393,6765,6084,1917,2140,1991
"NHECHLLE_00160",12,11,11,1,5,2
"NHECHLLE_00161",21203,19928,18095,9061,10645,9418
"NHECHLLE_00162",30403,30856,29287,12177,13584,13315
"NHECHLLE_00163",2626,2587,2322,3985,4415,4123
"NHECHLLE_00164",4627,4285,3836,7044,8234,7528
"NHECHLLE_00165",8668,8373,7978,2889,3423,3058
"NHECHLLE_00166",8907,9429,8017,3532,3965,3494
"NHECHLLE_00167",2830,2826,2499,3373,3549,3374
"NHECHLLE_00168",4738,4927,4376,5174,5781,5266
"NHECHLLE_00169",2331,2447,2316,2407,2971,2682
"NHECHLLE_00170",31,33,35,43,41,56
"NHECHLLE_00171",40,43,45,59,69,66
"NHECHLLE_00172",166,157,166,372,460,373
"NHECHLLE_00173",8,4,3,10,9,11
"NHECHLLE_00174",129,114,103,149,162,153
"NHECHLLE_00175",30,21,30,204,203,246
"NHECHLLE_00176",32,29,25,227,280,237
"NHECHLLE_00177",34,40,26,112,112,123
"NHECHLLE_00178",1531,1523,1264,2345,2536,2427
"NHECHLLE_00179",7775,6656,6301,4935,5517,5075
"NHECHLLE_00180",3401,2713,2572,4813,5910,5427
"NHECHLLE_00181",8938,7679,6974,12434,12994,12061
"NHECHLLE_00182",11070,9496,8361,13282,15446,14424
"NHECHLLE_00183",20913,20932,19248,7141,8363,8725
"NHECHLLE_00184",852,733,748,819,949,821
"NHECHLLE_00185",2896,2613,2369,4647,5216,4860
"NHECHLLE_00186",1086,1024,957,1614,2124,1890
"NHECHLLE_00187",979,972,912,370,387,373
"NHECHLLE_00188",45714,46986,42087,8416,9915,9116
"NHECHLLE_00189",25784,25612,22197,18753,21860,21449
"NHECHLLE_00190",4965,4676,4247,2190,2496,2275
"NHECHLLE_00191",793,694,649,4743,5148,4892
"NHECHLLE_00192",51,54,42,1413,1479,1378
"NHECHLLE_00193",17,18,18,246,207,250
"NHECHLLE_00194",12050,12506,10120,213,257,247
"NHECHLLE_00195",17773,22216,16760,197,281,292
"NHECHLLE_00196",17504,17799,16691,306,372,337
"NHECHLLE_00197",1874,1876,1684,1071,1305,1145
"NHECHLLE_00198",6082,5923,5321,3520,3952,3731
"NHECHLLE_00199",5935,4960,4602,3075,3408,3137
"NHECHLLE_00200",3322,2580,2299,1226,1628,1417
"NHECHLLE_00201",5765,4888,4656,2764,3529,3147
"NHECHLLE_00202",9960,8296,7881,7252,8240,7501
"NHECHLLE_00203",18563,16095,13780,12738,14481,14050
"NHECHLLE_00204",5673,5551,4873,906,973,930
"NHECHLLE_00205",103,95,124,25,26,28
